2018-10-30,211918160,6,2927
2018-11-04,105158757,6,2927
2018-09-09,727293374,142,2927
2018-12-09,759638844,142,2927
2018-05-05,987005979,209,2927
2018-01-22,299256848,178,2927
2014-07-21,346272565,209,2927
2016-11-03,678813622,215,2927
2014-05-10,872098007,295,2927
2018-10-27,699029199,378,2927
2014-09-27,599224846,378,2927
2016-12-09,898627840,390,2927
2015-11-21,583485014,461,8472
2017-12-09,617560748,461,8472
2017-01-22,880251171,486,8472
2016-10-24,44482443,490,8472
2015-03-08,902959256,497,8472
2017-11-15,247666606,517,8472
2015-09-17,491860666,517,8472
2014-06-02,561689724,565,8472
2018-08-31,447238667,565,8472
2015-08-08,864964442,573,8472
2014-03-02,20890274,573,8472
2014-08-14,228734532,574,8472
2018-01-16,696959280,583,8472
2015-08-28,780238661,583,8472
2015-05-17,576058531,609,8472
2014-10-05,925823732,609,8472
2015-08-13,368518404,618,8472
2017-04-30,988880149,618,8472
2015-10-02,732643323,624,8472
2017-10-01,888246576,647,8472
2015-07-23,806777457,647,8472
2016-07-21,411475452,650,7462
2017-07-17,890124202,650,7462
2016-10-20,510982580,696,7462
2016-08-17,452610114,696,7462
2017-06-24,597157844,727,7462
2014-08-16,890232365,727,7462
2015-07-01,139157820,740,7462
2015-06-17,596507924,740,7462
2014-07-25,770121852,740,4328
2015-02-07,165702105,772,4328
2015-04-26,178364619,772,4328
2018-08-19,567932243,857,4328
2018-04-16,139741995,879,1209
2014-12-19,394119823,879,1209
2015-01-21,289523402,889,1209
2015-09-30,229827354,889,1209
2016-04-20,466025371,903,1209
2015-08-10,616617516,903,1209
2017-11-21,394879994,903,1209
2015-02-04,148687253,624,5739
2016-11-13,974666926,624,5739
2014-03-23,47760130,295,5739
2016-12-07,714895090,295,5739
2017-10-07,92793933,490,5739
2017-12-16,849765376,490,7489
2015-01-10,350826676,565,7489
2014-04-09,80197504,565,7489
