917409146,Aventador,2017,5,86117,499
608104811,Countach,2018,3,68111,126
236987019,Huracan,2017,7,35405,164
544372361,Aventador,2014,1,94355,162
814855525,Huracan,2014,17,32517,392
746443003,A4,2014,17,76617,121
18578826,Passat,2017,16,107842,816
118192639,A4,2014,26,107472,842
142455216,Urus,2016,24,42018,647
728885208,Countach,2014,5,96854,327
404176647,Huracan,2019,7,78943,530
392962646,Aventador,2017,20,87653,915
738762846,Huracan,2017,31,66629,141
205881825,A4,2019,29,44290,821
427489350,Passat,2016,14,42946,12
57164223,A4,2016,21,117805,981
466887486,Urus,2014,17,81993,771
653988292,Countach,2014,13,94582,83
502804848,Huracan,2016,11,29804,392
149952923,Aventador,2014,4,77218,714
14672173,Huracan,2015,27,44355,35
792080506,A4,2017,9,111539,799
76345573,Passat,2019,15,109511,773
860840503,A4,2014,32,98336,905
486130508,A4,2014,24,71476,828
697220789,A4,2019,5,20242,491
846911114,A4,2019,21,91486,942
480032328,A4,2014,2,80151,939
487905989,A4,2017,7,72662,152
156216204,A4,2016,15,117712,1
105765634,Aventador,2019,4,90945,566
135558321,Aventador,2019,20,23527,0
20965164,Aventador,2018,13,89549,0
965667556,Aventador,2019,30,58568,0
805297224,Aventador,2014,2,119039,0
708219442,Aventador,2019,18,59720,0
250431502,Bentayaga,2019,5,67542,0
476316698,Bentayaga,2014,20,44976,0
681797425,Bentayaga,2017,12,110284,0
976504193,Bentayaga,2017,17,46176,0
145411207,Bentayaga,2017,6,58019,0
666756413,Centenario,2017,8,88992,0
129779087,Chiron,2014,28,29419,0
611012326,Chiron,2017,26,103425,0
55858660,Chiron,2019,8,53438,0
427075451,Chiron,2018,32,101017,0
553570941,Chiron,2016,22,100310,0
111556159,Chiron,2019,15,63435,0
524973565,Continental,2016,14,81416,0
534769119,Continental,2014,31,90627,0
606497780,Continental,2016,12,71895,0
159992300,Continental,2015,22,93283,0
23317591,Continental,2015,30,29655,0
13253486,Continental,2018,19,45423,0
68775550,Countach,1974,2,55532,0
147969677,Countach,1974,20,88310,0
834783778,Countach,1973,25,48296,0
177579168,Golf,2015,7,41267,0
112320604,Golf,2017,15,79802,0
831162415,Golf,2017,10,83092,0
24746744,Golf,2015,10,96065,2927
692448590,Golf,2019,1,109588,2928
353993062,Golf,2019,29,118738,8472
160189071,Huracan Performante,2016,31,27129,7462
277167623,Huracan Performante,2016,20,36764,7489
394397938,Huracan Performante,2017,17,113011,4328
408364122,Huracan Performante,2014,1,101624,1209
343302221,Huracan Performante,2016,20,76303,5739
400122778,Huracan Performante,2017,18,26221,2927
463013686,Jetta,2019,18,63660,2928
616918121,Jetta,2015,21,58165,8472
107065855,Jetta,2018,4,50997,7462
468170224,Jetta,2019,10,85964,7489
765310409,Jetta,2015,25,98910,4328
252669643,Jetta,2019,20,22066,1209
938619813,Passat,2014,15,39669,5739
895163833,Passat,2017,21,59225,2927
842905261,Passat,2017,4,21798,2928
777496982,Passat,2019,10,108898,8472
816764789,Passat,2016,11,115961,7462
212569976,Passat,2017,17,43411,7489
63381689,Q7,2018,30,95313,4328
664063125,Q7,2016,4,92054,1209
568982403,Q7,2018,20,42827,5739
966036934,Q7,2019,30,98075,2927
